"city","state","total_orders","total_sales"
"pindamonhangaba","SP","7039","866847.1799999954"
"itarare","SP","8580","861366.0000000047"
"maringá","PR","6595","853163.9099999929"
"salinas","MG","4788","852737.6700000071"
"pirassununga","SP","7051","852209.48999999"
"guaratingueta","SP","5921","849600.6300000084"
"itabuna","BA","7047","847372.7200000029"
"monte alto","SP","11254","843722.309999982"
"santa barbara d'oeste","SP","9036","837195.259999991"
"passos","MG","8798","837034.609999995"
"sao leopoldo","RS","8680","833128.0900000068"
"medianeira","PR","6925","832950.0799999926"
"ibitinga","SP","6864","832620.3599999947"
"guaira","SP","9900","832171.4999999894"
"pereira barreto","SP","3667","828880.9599999978"
"são carlos","SP","7189","828682.0199999892"
"belford roxo","RJ","7031","818510.9199999936"
"santo antonio da patrulha","RS","2880","816012.7999999985"
"barra do garcas","MT","6965","811163.7999999863"
"jaragua do sul","SC","6469","808620.0999999887"
"lages","SC","6619","806769.2000000027"
"alem paraiba","MG","8120","803756.8000000359"
"vacaria","RS","8138","795041.9100000041"
"mogi-guacu","SP","7189","793562.4199999879"
"mairinque","SP","8004","789393.1199999932"
"foz do iguacu","PR","6866","788232.6099999914"
"rondonopolis","MT","5010","785735.209999993"
"manaus","AM","6008","783171.0000000084"
"ilha solteira","SP","8788","777210.7199999978"
"jandira","SP","8321","771127.589999982"
"tijucas","SC","6600","771042.7999999903"
"sao roque","SP","6660","771000.2799999949"
"andradas","MG","2646","769288.5899999995"
"guararapes","SP","4994","765180.680000008"
"macapa","AP","4151","763585.8500000008"
"guarujá","SP","7084","762839.9399999942"
"louveira","SP","7314","759673.379999991"
"januaria","MG","5668","756728.1399999942"
"gravatai","RS","4676","755165.3900000032"
"santana de parnaíba","SP","7192","754067.5099999893"
"curitibanos","SC","6525","751403.3399999896"
"itatiba","SP","6300","747201.4599999886"
"cachoeirinha","RS","6343","743401.2500000044"
"eunapolis","BA","3473","741538.6099999934"
"serra negra","SP","3842","738461.7799999954"
"cuiabá","MT","5023","735558.3199999895"
"itapecerica da serra","SP","8873","735262.279999983"
"garca","SP","7887","720204.9900000065"
"pederneiras","SP","5712","715682.6599999933"
"alfenas","MG","6915","712388.5299999902"
"santiago","RS","10164","709847.5999999889"
"mairiporã","SP","6474","708815.6400000231"
"rio verde","GO","6542","704071.7299999909"
"tramandai","RS","7280","702915.1999999862"
"sao gotardo","MG","7075","701664.5400000081"
"itapira","SP","5574","700797.6699999889"
"manhuaçu","MG","6396","697819.9999999898"
"alta floresta","MT","2970","692118.8999999968"
"lorena","SP","8078","689996.0599999891"
"canela","RS","5396","686890.9199999934"
"jaboticabal","SP","5569","682816.1699999905"
"rio grande da serra","SP","8127","681554.2999999928"
"porto ferreira","SP","11220","680237.9999999691"
"santo antonio de posse","SP","2700","678765.1499999949"
"santo angelo","RS","6477","678624.3799999983"
"almenara","MG","3776","677827.3999999994"
"ibiuna","SP","7092","677585.4399999917"
"novo horizonte","SP","4579","674411.9899999918"
"machado","MG","5612","673908.4799999907"
"matinhos","PR","7755","672605.249999981"
"casimiro de abreu","RJ","4259","667863.579999991"
"sao manuel","SP","4263","665634.9700000009"
"paraguacu paulista","SP","4780","661265.1999999994"
"brusque","SC","4866","659536.3899999912"
"guarapuava","PR","5102","657533.0900000005"
"nanuque","MG","7674","656681.3799999885"
"jau","SP","5787","655082.9899999935"
"pinhais","PR","5847","654089.4999999984"
"caete","MG","7364","653021.1100000314"
"carmo do paranaiba","MG","2898","645391.0399999976"
"abaetetuba","PA","2240","644571.199999999"
"marataizes","ES","3723","636692.1299999967"
"são gonçalo","RJ","5466","635107.839999992"
"cornelio procopio","PR","7075","632270.1099999897"
"ananindeua","PA","4190","630123.7400000043"
"sertaozinho","SP","6794","629392.2199999853"
"brumado","BA","6612","626714.999999995"
"uruguaiana","RS","7200","624101.4499999895"
"itapolis","SP","6105","622338.1499999904"
"rancharia","SP","5496","621320.5100000161"
"são vicente","SP","5451","620131.9299999945"
"juina","MT","2376","619782.2399999984"
"carazinho","RS","7015","619433.6499999906"
"patrocinio","MG","4538","614743.029999993"
"marica","RJ","5315","611486.6399999971"
"esteio","RS","4016","606069.2999999981"
"presidente epitacio","SP","6084","601969.6799999967"
"juquitiba","SP","4875","599404.6500000004"
"cacador","SC","6249","597256.4299999881"
"santos dumont","MG","6647","594270.6999999994"
"irati","PR","5566","594163.2399999942"
"sao borja","RS","5004","590677.719999989"
"piracaia","SP","5325","588908.7899999905"
"taboão da serra","SP","5861","587805.26999999"
"jatai","GO","4041","587442.6799999936"
"sao pedro","SP","2226","585682.8599999967"
"carapicuíba","SP","6712","585447.2199999884"
"dois vizinhos","PR","7744","583103.8399999854"
"paulínia","SP","4918","578222.1099999938"
"rio do sul","SC","4501","576344.6499999927"
"anapolis","GO","3716","575449.3599999942"
"petrópolis","RJ","4858","572621.6399999955"
"avare","SP","4962","568671.8799999938"
"socorro","SP","5635","568265.2499999898"
"ilheus","BA","5400","568021.1199999965"
"holambra","SP","5408","565593.5999999915"
"cordeiro","RJ","5400","562649.7599999922"
"senhor do bonfim","BA","5475","560044.3199999947"
"unaí","MG","4674","559681.9799999944"
"santa vitoria","MG","2329","559476.4899999951"
"espirito santo do pinhal","SP","4921","559445.1799999897"
"guapore","RS","4956","558107.5499999975"
"tres pontas","MG","4860","557371.5299999943"
"ibiruba","RS","4275","556228.7999999946"
"santa luzia","MG","5562","553929.7899999963"
"são josé","SC","5324","552070.599999993"
"cajamar","SP","6709","551412.7700000167"
"mesquita","RJ","5625","551026.4699999937"
"bom jesus da lapa","BA","2134","548948.2199999974"
"são luís","MA","3822","547557.6899999939"
"sao luiz gonzaga","RS","2822","547469.6599999946"
"petrolina","PE","2875","546788.7999999956"
"colombo","PR","5580","546607.1499999905"
"paraiba do sul","RJ","3702","546074.3399999945"
"cambui","MG","4524","545270.7599999887"
"posse","GO","2754","543188.2500000036"
"colatina","ES","6251","539797.2899999961"
"venancio aires","RS","5265","539100.8999999936"
"carlos barbosa","RS","4431","539060.689999993"
"taquara","RS","2352","534794.4799999986"
"piumhi","MG","4658","534716.4799999939"
"luís eduardo magalhães","BA","2752","534007.679999994"
"cachoeira do sul","RS","2755","527247.4999999977"
"armação dos búzios","RJ","3270","527167.5999999964"
"cerqueira cesar","SP","2982","525615.839999996"
"piedade","SP","4600","524907.839999997"
"martinopolis","SP","1410","522840.6900000001"
"bebedouro","SP","6255","521673.27999999135"
"sao pedro da aldeia","RJ","5284","520700.5399999927"
"aguas de lindoia","SP","4200","519555.1199999923"
"fraiburgo","SC","2674","518673.8699999972"
"mineiros","GO","5129","518154.50999999477"
"campo belo","MG","5880","514175.19999999396"
"hortolândia","SP","4630","512267.8899999942"
"ribeirao das neves","MG","4792","511349.83000000275"
"leopoldina","MG","6120","510337.6199999886"
"bariri","SP","3572","508812.5999999938"
"apucarana","PR","5574","507202.50999999803"
"macaé","RJ","4179","505278.87999999523"
"cianorte","PR","5209","504034.9299999924"
"taubaté","SP","5405","500688.6999999926"
"ipanema","MG","1197","495793.4099999992"
"brumadinho","MG","7227","494552.3699999951"
"poa","SP","4994","493985.9299999955"
"concordia","SC","5550","493335.8700000185"
"laranjal paulista","SP","4460","492680.5899999919"
"cravinhos","SP","6240","491701.5999999959"
"sao gabriel","RS","4992","491472.799999995"
"parnamirim","RN","4184","490597.11999999516"
"marau","RS","5650","489818.8399999958"
"penapolis","SP","5546","489691.93999999523"
"iguaba grande","RJ","5408","488508.7999999956"
"saquarema","RJ","5928","487592.9799999927"
"bacabal","MA","2100","486556.499999996"
"sumaré","SP","4696","484834.13999999536"
"cubatao","SP","5878","483206.41999999364"
"capelinha","MG","3760","481836.4799999903"
"itaúna","MG","3952","481693.33999999403"
"umuarama","PR","2866","480643.9799999957"
"oliveira","MG","4093","479813.99999999616"
"imperatriz","MA","2512","476999.0799999973"
"dois irmaos","RS","2660","475826.3999999964"
"peruíbe","SP","4544","474352.41999999556"
"paraty","RJ","3145","472639.94999999634"
"ouro fino","MG","4301","469714.07999999623"
"varzea paulista","SP","4000","468163.08999999485"
"itajaí","SC","2798","468127.92999999714"
"monte azul paulista","SP","3726","467841.4199999945"
"barrinha","SP","3388","467687.21999999555"
"laranjeiras do sul","PR","2884","466676.0000000048"
"marília","SP","3078","465885.53999999625"
"tupa","SP","4515","465183.259999992"
"ijuí","RS","5478","463509.3499999958"
"lencois paulista","SP","3301","461502.2499999945"
"olinda","PE","3174","459464.1099999991"
"mafra","SC","8215","459040.94999998354"
"santarem","PA","3941","458826.3599999988"
"itapetinga","BA","3173","455429.03999999433"
"fernandópolis","SP","3538","454148.6599999961"
"itapeva","SP","4238","453430.41999999655"
"taio","SC","1368","453357.4799999993"
"osvaldo cruz","SP","5313","451974.38000000076"
"laguna","SC","4510","451559.6499999936"
"garopaba","SC","5146","447051.2800000003"
"barao de cocais","MG","4332","446515.19999999757"
"cataguases","MG","3614","443064.2199999938"
"venda nova do imigrante","ES","3674","442187.6099999972"
"embu","SP","3783","441584.6999999969"
"claudio","MG","3266","439201.7399999983"
"alegrete","RS","3647","437994.93999999674"
"mogi guacu","SP","3893","437948.3799999957"
"ribeirao pires","SP","4908","436076.14999999007"
"porto uniao","SC","2016","435405.59999999666"
"mongaguá","SP","3726","434769.92999999697"
"olímpia","SP","3034","433827.95999999554"
"cruz das almas","BA","4300","431556.60000001255"
"joão pessoa","PB","2213","430375.3799999982"
"janauba","MG","4860","430252.5599999988"
"sao sebastiao","SP","3470","428421.99999999686"
"dourados","MS","3387","428129.1099999936"
"cacapava","SP","3628","426914.31999999785"
"lagoa da prata","MG","2964","426171.32999999786"
"pitangui","MG","4225","425411.8699999937"
"braco do norte","SC","3408","420670.7399999966"
"bombinhas","SC","3255","419983.96999999473"
"são miguel do oeste","SC","3264","418588.959999998"
"piumhii","MG","3638","417625.27999999735"
"campo mourao","PR","3408","415078.38999999396"
"veranopolis","RS","4472","411774.8799999912"
"juazeiro","BA","3308","409682.9499999933"
"formosa","GO","3172","408610.59999999305"
"nossa senhora do socorro","SE","2640","401793.9199999964"
"penha","SC","3132","399867.65999999864"
"estrela","RS","2880","399086.9999999993"
"gaspar","SC","1818","396462.37999999826"
"conchal","SP","4011","396370.8399999956"
"nova venecia","ES","3078","395263.7999999971"
"nova andradina","MS","2506","392881.73000000045"
"torres","RS","5817","392295.7099999974"
"maracaju","MS","2240","390874.3999999985"
"taquarituba","SP","2754","389923.5599999996"
"nova xavantina","MT","1309","389688.1099999987"
"são josé do rio pardo","SP","3876","388074.2399999988"
"guaratuba","PR","2130","388060.4399999988"
"coromandel","MG","4830","387032.72999999503"
"sao joao nepomuceno","MG","3427","386505.99999999756"
"itajubá","MG","3114","384516.4199999975"
"cristalina","GO","1456","384502.2999999985"
"palmital","SP","4360","383714.8799999972"
"ituporanga","SC","1888","380568.87999999797"
"guacui","ES","1800","379729.0000000008"
"campos novos","SC","4312","378219.2399999999"
"alegre","ES","2358","377813.1700000021"
"cruzeiro","SP","3927","377381.3899999958"
"paulo afonso","BA","2481","376708.02999999886"
"joao pinheiro","MG","2718","373771.8099999987"
"agua boa","MT","2835","372447.44999999966"
"sao fidelis","RJ","4392","371352.74999999325"
"palmas","PR","4032","368904.9600000018"
"rolandia","PR","1898","367766.879999997"
"santa rita do passa quatro","SP","3784","365322.83999999816"
"encantado","RS","1560","364932.0999999977"
"espera feliz","MG","2090","364732.4999999992"
"caruaru","PE","3096","364333.37999999704"
"cunha","SP","2048","364175.3599999967"
"alvares machado","SP","720","362031.2999999993"
"caxambu","MG","3468","361208.5199999978"
"sao francisco do sul","SC","4599","360929.51999999763"
"jacutinga","MG","2700","360560.69999999885"
"boa vista","RR","2408","359758.1499999969"
"cajati","SP","3152","358800.03999999654"
"rio negro","PR","2535","355892.0299999963"
"macatuba","SP","2142","355172.16000000015"
"taiobeiras","MG","1848","354381.7199999987"
"itaborai","RJ","2968","352933.2799999946"
"mococa","SP","2097","352913.1999999994"
"castilho","SP","1500","352776.24999999785"
"esmeraldas","MG","3168","352632.05999999976"
"sapucaia do sul","RS","3013","352533.76999999734"
"marialva","PR","2603","352524.28999999695"
"valparaiso de goias","GO","2600","352193.2499999974"
"charqueadas","RS","3672","351167.6399999968"
"iturama","MG","2970","350964.89999999554"
"bambui","MG","3021","350860.5299999947"
"campo formoso","BA","1122","348751.2599999992"
"aguai","SP","3116","346282.7199999989"
"chapecó","SC","2937","346238.5099999978"
"franco da rocha","SP","3817","346033.2599999946"
"santo amaro da imperatriz","SC","1610","345840.6499999999"
"camaqua","RS","3819","345066.74999999884"
"monte siao","MG","2992","344118.07999999897"
"chapadao do sul","MS","3504","343784.00999999646"
"são joão de meriti","RJ","2728","343760.8999999995"
"bagé","RS","1653","343071.13999999873"
"russas","CE","979","342104.4299999982"
"visconde do rio branco","MG","4360","339500.1199999963"
"sao mateus","ES","2488","339207.80999999854"
"cachoeiras de macacu","RJ","3996","338943.509999997"
"sao mateus do sul","PR","3500","338441.2499999937"
"queimados","RJ","3745","336517.00999999954"
