"seller_id","seller_city","seller_state","total_products_sold","total_sales","avg_review_score"
"59b22a78efb79a4797979612b885db36","uberlandia","MG","132","26985.499999999996","3.9696969696969697"
"7e1fb0a3ebfb01ffb3a7dae98bf3238d","franca","SP","172","26883.53","4.1337209302325581"
"12b9676b00f60f3b700e83af21824c0e","montenegro","RS","135","26774","4.5111111111111111"
"b32be1695eb7ec5f10f72d9610a12527","caxias do sul","RS","45","26575","4.0888888888888889"
"de23c3b98a88888289c6f5cc1209054a","sao paulo","SP","181","26399.669999999976","4.2817679558011050"
"9f505651f4a6abe901a56cdc21508025","sao paulo","SP","427","26264.839999999946","4.2833723653395785"
"a3a38f4affed601eb87a97788c949667","joinville","SC","260","26239.429999999946","4.3884615384615385"
"1c68394e931a64f90ea236c5ea590300","sarandi","PR","178","26133.559999999983","3.9438202247191011"
"a416b6a846a11724393025641d4edd5e","sao paulo","SP","181","25670.72","4.1602209944751381"
"16090f2ca825584b5a147ab24aa30c86","atibaia","SP","407","25633.149999999943","4.0442260442260442"
"dc4a0fc896dc34b0d5bfec8438291c80","ibitinga","SP","258","25066.269999999982","3.7441860465116279"
"c003204e1ab016dfa150abc119207b24","cajamar","SP","201","24998.18999999996","4.4228855721393035"
"1900267e848ceeba8fa32d80c1a5f5a8","ibitinga","SP","524","24829.649999999932","3.8549618320610687"
"001cca7ae9ae17fb1caed9dfb1094831","cariacica","ES","236","24770.02999999999","3.9025423728813559"
"b1b3948701c5c72445495bd161b83a4c","sao paulo","SP","18","24699.19","1.7222222222222222"
"f62d7bb4a613ec758a03342d46b580b2","vicosa","MG","32","24665","4.3750000000000000"
"b94cc9f10ddc85e4ba73a6f7974e7101","macae","RJ","37","24096.299999999992","4.2972972972972973"
"b37c4c02bda3161a7546a4e6d222d5b2","sao paulo","SP","15","24075","1.4000000000000000"
"710e3548e02bc1d2831dfc4f1b5b14d4","rolandia","PR","141","23869.11999999998","3.3971631205673759"
"2b3e4a2a3ea8e01938cabda2a3e5cc79","sao paulo","SP","54","23629.149999999994","4.3888888888888889"
"897060da8b9a21f655304d50fd935913","ribeirao preto","SP","430","23537.16999999996","3.3953488372093023"
"1a3df491d1c4f1589fc2b934ada68bf2","joinville","SC","180","23523.499999999964","4.1611111111111111"
"612170e34b97004b3ba37eae81836b4c","novo hamburgo","RS","110","23065.019999999982","4.4272727272727273"
"8444e55c1f13cd5c179851e5ca5ebd00","congonhal","MG","109","22873.209999999992","3.0733944954128440"
"05ff92fedb5be47920fea08e501238b9","santo angelo","RS","64","22610.78","4.1718750000000000"
"744dac408745240a2c2528fb1b6028f3","colombo","PR","84","22490.6","4.5476190476190476"
"f45122a9ab94eb4f3f8953578bc0c560","piracicaba","SP","200","22078.28999999998","3.9100000000000000"
"7ad32824caee82087b3e2e5f33b1bf32","ibitinga","SP","181","22032.1","3.7679558011049724"
"d2374cbcbb3ca4ab1086534108cc3ab7","ibitinga","SP","649","22030.88999999987","3.6363636363636364"
"ff69aa92bb6b1bf9b8b7a51c2ed9cf8b","sao paulo","SP","20","21940.8","3.6500000000000000"
"06e5eefc71ec47ae763c5c6f8db7064f","porto alegre","RS","93","21898.58","3.9032258064516129"
"8f2ce03f928b567e3d56181ae20ae952","pirituba","SP","174","21612.999999999964","4.0632183908045977"
"59fb871bf6f4522a87ba567b42dafecf","sao paulo","SP","128","21538.569999999978","4.2187500000000000"
"40db9e9aa57f7bb151bcda6b0f9bdbb7","recife","PE","11","21380","2.3636363636363636"
"7b0df942f46435babab05d49b744b2c4","braganca paulista","SP","31","21311.910000000003","4.3870967741935484"
"48162d548f5b1b11b9d29d1e01f75a61","piracicaba","SP","91","20510.14","3.7582417582417582"
"004c9cd9d87a3c30c522c48c4fc07416","ibitinga","SP","173","20234.209999999977","4.1329479768786127"
"00ee68308b45bc5e2660cd833c3f81cc","sao paulo","SP","172","20207","4.3313953488372093"
"729f06993dac8e860d4f02d7088ca48a","limeira","SP","114","20085.179999999982","4.2894736842105263"
"f457c46070d02cadd8a68551231220dd","maringa","PR","240","19609.499999999975","3.7875000000000000"
"bfd27a966d91cfaafdb25d076585f0da","serra negra","SP","116","19547","4.2844827586206897"
"d650b663c3b5f6fb392b6326366efa9a","cotia","SP","60","19242.9","4.2000000000000000"
"2a5b78b41cd05baeac8df54c6606b92c","formiga","MG","60","19025.36","4.0833333333333333"
"dc317f341ab0e22f39acbd9dbf9b4a1f","cachoeirinha","RS","58","18988.399999999994","4.1206896551724138"
"821fb029fc6e495ca4f08a35d51e53a5","sao paulo","SP","28","18798.42","3.4285714285714286"
"44073f8b7e41514de3b7815dd0237f4f","brasilia","DF","152","18659.639999999996","3.7565789473684211"
"96493fab2fbb13a14d0c0e8772eef5c3","sao paulo","SP","63","18600","4.0317460317460317"
"cd68562d3f44870c08922d380acae552","ribeirao preto","SP","131","18453.699999999997","3.8396946564885496"
"0dd184061fb0eaa7ca37932c68ab91c5","guarulhos","SP","192","18326.92","3.9531250000000000"
"527801b552d0077ffd170872eb49683b","garca","SP","91","17833.899999999987","4.4835164835164835"
"a888faf2d1baececa6baf9c3d603ee1f","umuarama","PR","55","17765.799999999992","4.0545454545454545"
"4a3ccda38b2129705f3fb522db62ca31","marilia","SP","79","17624.48999999999","3.7341772151898734"
"9de4643a8dbde634fe55621059d92273","joinville","SC","81","17560.33999999999","4.5308641975308642"
"41b39e28db005d9731d9d485a83b4c38","santo andre","SP","238","17546.849999999966","4.1260504201680672"
"c72de06d72748d1a0dfb2125be43ba63","guanambi","BA","22","17522","4.4545454545454545"
"165fc07beebdcb6190fba8a06db2a449","maringa","PR","64","17481.399999999998","3.6875000000000000"
"8b321bb669392f5163d04c59e235e066","sao paulo","SP","1014","17448.19999999991","3.9950690335305720"
"0c8380b62e38e8a1e6adbeba7eb9688c","tres coracoes","MG","220","17434.189999999966","4.0409090909090909"
"76d64c4aca3a7baf218bf93ef7fa768d","curitiba","PR","70","17181.699999999993","4.1285714285714286"
"1e8b33f18b4f7598d87f5cbee2282cc2","sao paulo","SP","138","17147.259999999984","4.2826086956521739"
"54a1852d1b8f10312c55e906355666ee","santa barbara d'oeste","SP","204","17036.439999999966","4.3431372549019608"
"94144541854e298c2d976cb893b81343","viamao","RS","76","16855.27999999999","4.2894736842105263"
